Job Title,Company,Location,Required Skills,Years of Experience Required,Shortened Job Description (5–8 lines),URL
AI/ML Engineer (Recent Grad),Nightfall AI,"Palo Alto, CA",aws; c++; deep learning; gcp; go; java; machine learning; natural language processing; nlp; python; pytorch; r; rust,0,"About Nightfall: Nightfall is the AI-native, unified data loss prevention and insider risk management platform that protects sensitive data across SaaS apps, GenAI tools, email, endpoint devices, and more. Hundreds of customers, spanning AI innovators to top 10 banks, trust Nightfall to detect and stop data exfiltration at scale. Nightfall enables organizations to innovate freely without the risks of losing intellectual property or exposing customer data. Our agentic platform helps security teams regain their time by putting data loss prevention on autopilot. With automatic remediation, security violations can be resolved automatically before they become incidents, and end-users can be automatically trained and coached in the moment to self-heal violations that they introduce. Nightfall...",https://www.linkedin.com/jobs/view/ai-ml-engineer-recent-grad-at-nightfall-ai-4333294031?position=2&pageNum=0&refId=QfLRUd4c1u%2BWW%2BPsy0Kqmw%3D%3D&trackingId=MHC2uMZYkAplj%2Ff0eXMaiQ%3D%3D
AI/ML Engineer,Sectech Solutions,"East Lansing, MI",airflow; aws; azure; docker; go; machine learning; numpy; pandas; python; pytorch; r; scikit-learn; sql; tensorflow,5,"AI/ML ENGINEER 100% OFFICE WORKING - EAST LANSING, MICHIGAN SALARY $70K-$120K Design, build, and deploy AI and machine learning systems that deliver measurable business value at our Financial Services client. As part of the AI & Automation team, contribute across the full engineering lifecycle—from data analysis and model development through production deployment. Depending on experience, this role may emphasize quantitative modeling alongside a senior data scientist, or production engineering of AI-powered systems. We are building a new team and hiring at multiple levels. Core Responsibilities Design and implement AI solutions including document intelligence, knowledge search (RAG), and process automation Build and maintain production data pipelines: ingestion, transformation, feature...",https://www.linkedin.com/jobs/view/ai-ml-engineer-at-sectech-solutions-4382452328?position=3&pageNum=0&refId=QfLRUd4c1u%2BWW%2BPsy0Kqmw%3D%3D&trackingId=ulQ8%2FoyqNRZbxsvpLkY1Pw%3D%3D
"Machine Learning Engineer - LLM, AI & Robotics",XPENG,"Santa Clara, CA",computer vision; deep learning; go; machine learning; natural language processing; nlp; python; r,7,"XPENG is a leading smart technology company at the forefront of innovation, integrating advanced AI and autonomous driving technologies into its vehicles, including electric vehicles (EVs), electric vertical take-off and landing (eVTOL) aircraft, and robotics. With a strong focus on intelligent mobility, XPENG is dedicated to reshaping the future of transportation through cutting-edge R&D in AI, machine learning, and smart connectivity. Job Responsibilities Fine-tune the pre-trained LLM on particular use cases in Humanoid Robots and Autonomous Driving Cars, e.g. chat, API calling, etc. Work on efficient LLMs (e.g. small LLMs, weight sharing, model quantization, etc.) that can be deployed locally in Robots and Cars. Develop and maintain the LLM (including multi-modal LLM) training and...",https://www.linkedin.com/jobs/view/machine-learning-engineer-llm-ai-robotics-at-xpeng-4383752864?position=4&pageNum=0&refId=QfLRUd4c1u%2BWW%2BPsy0Kqmw%3D%3D&trackingId=YufSbZXhHqOZaQ89MbRznw%3D%3D
"Software Engineer, AI Platform - New Grad",Nuro,"Mountain View, CA",c++; go; machine learning; python; r; scala,5,"Who We Are Nuro is a self-driving technology company on a mission to make autonomy accessible to all. Founded in 2016, Nuro is building the world’s most scalable driver, combining cutting-edge AI with automotive-grade hardware. Nuro licenses its core technology, the Nuro Driver™, to support a wide range of applications, from robotaxis and commercial fleets to personally owned vehicles. With technology proven over years of self-driving deployments, Nuro gives the automakers and mobility platforms a clear path to AVs at commercial scale—empowering a safer, richer, and more connected future. About The Role Our software team is growing, and we are looking for talented engineers who are graduating by July 2026 to join us and be instrumental to one of the following areas: Data Platform, Onboard...",https://www.linkedin.com/jobs/view/software-engineer-ai-platform-new-grad-at-nuro-4317707969?position=5&pageNum=0&refId=QfLRUd4c1u%2BWW%2BPsy0Kqmw%3D%3D&trackingId=h39AEFwjr3%2BZmzgII%2FB7zQ%3D%3D
Python Developer - AI/ML applications,Mphasis,"New York, United States",machine learning; numpy; pandas; python; r; scala; spark,5,"Role description Job Title - Python Developer ( Deploying AI/ML applications) Location - Iselin NJ (ONSITE from day 1) We are seeking a highly skilled Python Developer with hands‑on experience in building and deploying AI/ML applications . In this role, you will work closely with Senior Engineers, leads, and product teams to design scalable machine learning pipelines, optimize model performance, and deliver production‑ready AI solutions. Key Responsibilities Develop, optimize, and maintain Python-based applications for AI/ML use cases. Build scalable data processing pipelines using frameworks such as Pandas, NumPy, and PySpark. Collaborate to train, evaluate, and deploy machine learning models . Implement end‑to‑end ML workflows including feature engineering, model serving, and monitoring...",https://www.linkedin.com/jobs/view/python-developer-ai-ml-applications-at-mphasis-4380208215?position=6&pageNum=0&refId=QfLRUd4c1u%2BWW%2BPsy0Kqmw%3D%3D&trackingId=VpnNyG1f02FFSbQ94%2F30Qw%3D%3D
Machine Learning Engineer,Baselayer,"San Francisco, CA",go; machine learning; python; r; reinforcement learning; rust; scala,8,"About Baselayer: Trusted by 2,200+ financial institutions, Baselayer is the intelligent business identity platform that helps verify any business, automate KYB, and monitor real-time risk. Baselayer’s B2B risk solutions & identity graph network leverage state & federal government filings and proprietary data sources to prevent fraud, accelerate onboarding, and lower credit losses. About You: You want to learn from the best of the best, get your hands dirty, and put in the work to hit your full potential. You're not just doing it for the win—you're doing it because you have something to prove and want to be great. You are looking to be an impeccable machine learning engineer working on cutting-edge AI solutions. You have 4-8 years of experience in machine learning development, working with...",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-baselayer-4383778052?position=7&pageNum=0&refId=QfLRUd4c1u%2BWW%2BPsy0Kqmw%3D%3D&trackingId=UbT80RC9XgmEi8cknrop%2Fw%3D%3D
AI/ML Engineer,Involved Solutions,"Texas, United States",docker; go; kubernetes; mlops; python; pytorch; r; rust; scala; tensorflow,5,"We have partnered with a global AI-led professional services firm specialising in advisory, technology and managed services across the government and commercial sectors to appoint an AI/ML Engineer. This is a senior hands-on role for an engineer who thrives in a client-facing delivery environment, building and deploying production-grade AI systems that solve real problems at scale. You will play a central role in shaping how the firm engineers and delivers AI solutions across a growing portfolio of government and public sector clients. This role suits someone who combines deep technical capability with the communication skills and commercial awareness to operate as a trusted partner to clients and internal stakeholders alike. If you have built agentic AI systems in production and want to...",https://www.linkedin.com/jobs/view/ai-ml-engineer-at-involved-solutions-4383714497?position=8&pageNum=0&refId=QfLRUd4c1u%2BWW%2BPsy0Kqmw%3D%3D&trackingId=exShURdHmRW2wf38UEobzQ%3D%3D
Machine Learning  Engineer,Colgate-Palmolive,"New York, NY",airflow; aws; docker; go; kubernetes; machine learning; mlops; python; r; rust; scala; scikit-learn; sql,1,"No Relocation Assistance Offered Job Number #171679 - New York, New York, United States Who We Are Colgate-Palmolive Company is a global consumer products company operating in over 200 countries specializing in Oral Care, Personal Care, Home Care, Skin Care, and Pet Nutrition. Our products are trusted in more households than any other brand in the world, making us a household name! Join Colgate-Palmolive, a caring, innovative growth company reimagining a healthier future for people, their pets, and our planet. Guided by our core values—Caring, Inclusive, and Courageous—we foster a culture that inspires our people to achieve common goals. Together, let's build a brighter, healthier future for all. Overview We are seeking a Machine Learning Engineer who brings the analytical rigor of a data...",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-colgate-palmolive-4376942359?position=9&pageNum=0&refId=QfLRUd4c1u%2BWW%2BPsy0Kqmw%3D%3D&trackingId=1EdbeqbP11PmEcbkZvxIoA%3D%3D
Data Scientist,Zest AI,United States,machine learning; python; r; scikit-learn; spark; xgboost,0,"Founded in 2009, Zest AI is transforming the $17 trillion U.S. consumer credit market through AI-driven technology that helps lenders identify creditworthy borrowers overlooked by traditional methods. Our platform enables financial institutions of all sizes to harness AI to improve underwriting accuracy, expand credit access, and deliver better lending experiences. With more than 600 active AI models and over 50 issued and pending patents, Zest AI provides solutions across marketing, underwriting, fraud detection, and lending intelligence. Headquartered in Los Angeles, Zest AI partners with financial institutions to make smarter lending decisions while strengthening the resilience of the U.S. financial system. Data Scientists at Zest AI use the power of machine learning (ML) and...",https://www.linkedin.com/jobs/view/data-scientist-at-zest-ai-4382467272?position=10&pageNum=0&refId=QfLRUd4c1u%2BWW%2BPsy0Kqmw%3D%3D&trackingId=sga65NQbm8%2BVqxM5wRsK2g%3D%3D
AI/ML developer,Saransh Inc,"Jersey City, NJ",aws; deep learning; go; mlops; numpy; pandas; python; pytorch; r; tensorflow; xgboost,3,"Required Skills Skill Python, NumPy, Pandas PyTorch, TensorFlow, XGBoost Experience with LLMs (OpenAI, Hugging Face) REST APIs, Flask/FastAPI AWS MLOps (model deployment, monitoring, CI/CD) Vector DBs (e.g., FAISS, Pinecone) Job Responsibilities Develop and maintain ML/AI models and services. Integrate LLMs into production environments. Work closely with data scientists and DevOps. Optimize model performance and deployment. Good Knowledge in Deep Learning, Model Validation, classification, clustering",https://www.linkedin.com/jobs/view/ai-ml-developer-at-saransh-inc-4332071682?position=1&pageNum=2&refId=qnv5GiHNBjCcrDJ7g4BI8w%3D%3D&trackingId=%2F7ApT%2Bqq81OI8m%2BOatDJMg%3D%3D
